date,price,score
2026-02-12,67898,68
2026-02-13,66421,74
2026-02-14,68933,76
2026-02-15,69412,72
2026-02-16,68497,82
2026-02-17,68637,82
2026-02-18,67323,76
2026-02-19,66768,74
2026-02-20,67300,68
2026-02-21,67934,82
2026-02-22,68167,74
2026-02-23,64648,74
2026-02-24,64090,72
2026-02-25,66095,64
2026-02-26,67961,76
2026-02-27,67424,76
2026-02-28,65811,76
2026-03-01,67680,74
2026-03-02,66193,58
2026-03-03,68623,74
2026-03-04,68326,72
2026-03-05,72672,72
2026-03-06,71206,76
2026-03-07,68285,74
2026-03-08,67247,66
2026-03-09,66218,42
